 89.000 -179.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -177.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -175.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -173.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -171.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -169.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -167.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -165.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -163.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -161.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -159.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -157.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -155.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -153.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -151.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -149.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -147.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -145.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -143.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -141.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -139.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -137.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -135.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -133.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -131.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -129.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -127.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -125.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -123.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -121.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -119.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -117.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -115.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -113.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -111.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -109.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -107.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -105.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -103.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000 -101.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -99.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -97.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -95.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -93.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -91.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -89.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -87.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
 89.000  -85.000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000  -99.0000 -999.0000
