 59.750   -9.750
 59.750   -9.583
 59.750   -9.417
 59.750   -9.250
 59.750   -9.083
 59.750   -8.917
 59.750   -8.750
 59.750   -8.583
 59.750   -8.417
 59.750   -8.250
 59.750   -8.083
 59.750   -7.917
 59.750   -7.750
 59.750   -7.583
 59.750   -7.417
 59.750   -7.250
 59.750   -7.083
 59.750   -6.917
 59.750   -6.750
 59.750   -6.583
 59.750   -6.417
 59.750   -6.250
 59.750   -6.083
 59.750   -5.917
 59.750   -5.750
 59.750   -5.583
 59.750   -5.417
 59.750   -5.250
 59.750   -5.083
 59.750   -4.917
 59.750   -4.750
 59.750   -4.583
 59.750   -4.417
 59.750   -4.250
 59.750   -4.083
 59.750   -3.917
 59.750   -3.750
 59.750   -3.583
 59.750   -3.417
 59.750   -3.250
 59.750   -3.083
 59.750   -2.917
 59.750   -2.750
 59.750   -2.583
 59.750   -2.417
 59.750   -2.250
 59.750   -2.083
 59.750   -1.917
 59.750   -1.750
 59.750   -1.583
 59.750   -1.417
 59.750   -1.250
 59.750   -1.083
 59.750   -0.917
 59.750   -0.750
 59.750   -0.583
 59.750   -0.417
 59.750   -0.250
 59.750   -0.083
 59.750    0.083
 59.750    0.250
 59.750    0.417
 59.750    0.583
 59.750    0.750
 59.750    0.917
 59.750    1.083
 59.750    1.250
 59.750    1.417
 59.750    1.583
 59.750    1.750
 59.750    1.917
 59.750    2.083
 59.583   -9.750
 59.583   -9.583
 59.583   -9.417
 59.583   -9.250
 59.583   -9.083
 59.583   -8.917
 59.583   -8.750
 59.583   -8.583
 59.583   -8.417
 59.583   -8.250
 59.583   -8.083
 59.583   -7.917
 59.583   -7.750
 59.583   -7.583
 59.583   -7.417
 59.583   -7.250
 59.583   -7.083
 59.583   -6.917
 59.583   -6.750
 59.583   -6.583
 59.583   -6.417
 59.583   -6.250
 59.583   -6.083
 59.583   -5.917
 59.583   -5.750
 59.583   -5.583
 59.583   -5.417
 59.583   -5.250
 59.583   -5.083
 59.583   -4.917
 59.583   -4.750
 59.583   -4.583
 59.583   -4.417
 59.583   -4.250
 59.583   -4.083
 59.583   -3.917
 59.583   -3.750
 59.583   -3.583
 59.583   -3.417
 59.583   -3.250
 59.583   -3.083
 59.583   -2.917
 59.583   -2.750
 59.583   -2.583
 59.583   -2.417
 59.583   -2.250
 59.583   -2.083
 59.583   -1.917
 59.583   -1.750
 59.583   -1.583
 59.583   -1.417
 59.583   -1.250
 59.583   -1.083
 59.583   -0.917
 59.583   -0.750
 59.583   -0.583
 59.583   -0.417
 59.583   -0.250
 59.583   -0.083
 59.583    0.083
 59.583    0.250
 59.583    0.417
 59.583    0.583
 59.583    0.750
 59.583    0.917
 59.583    1.083
 59.583    1.250
 59.583    1.417
 59.583    1.583
 59.583    1.750
 59.583    1.917
 59.583    2.083
 59.417   -9.750
 59.417   -9.583
 59.417   -9.417
 59.417   -9.250
 59.417   -9.083
 59.417   -8.917
 59.417   -8.750
 59.417   -8.583
 59.417   -8.417
 59.417   -8.250
 59.417   -8.083
 59.417   -7.917
 59.417   -7.750
 59.417   -7.583
 59.417   -7.417
 59.417   -7.250
 59.417   -7.083
 59.417   -6.917
 59.417   -6.750
 59.417   -6.583
 59.417   -6.417
 59.417   -6.250
 59.417   -6.083
 59.417   -5.917
 59.417   -5.750
 59.417   -5.583
 59.417   -5.417
 59.417   -5.250
 59.417   -5.083
 59.417   -4.917
 59.417   -4.750
 59.417   -4.583
 59.417   -4.417
 59.417   -4.250
 59.417   -4.083
 59.417   -3.917
 59.417   -3.750
 59.417   -3.583
 59.417   -3.417
 59.417   -3.250
 59.417   -3.083
 59.417   -2.917
 59.417   -2.750
 59.417   -2.583
 59.417   -2.417
 59.417   -2.250
 59.417   -2.083
 59.417   -1.917
 59.417   -1.750
 59.417   -1.583
 59.417   -1.417
 59.417   -1.250
 59.417   -1.083
 59.417   -0.917
 59.417   -0.750
 59.417   -0.583
 59.417   -0.417
 59.417   -0.250
 59.417   -0.083
 59.417    0.083
 59.417    0.250
 59.417    0.417
 59.417    0.583
 59.417    0.750
 59.417    0.917
 59.417    1.083
 59.417    1.250
 59.417    1.417
 59.417    1.583
 59.417    1.750
 59.417    1.917
 59.417    2.083
 59.250   -9.750
 59.250   -9.583
 59.250   -9.417
 59.250   -9.250
 59.250   -9.083
 59.250   -8.917
 59.250   -8.750
 59.250   -8.583
 59.250   -8.417
 59.250   -8.250
 59.250   -8.083
 59.250   -7.917
 59.250   -7.750
 59.250   -7.583
 59.250   -7.417
 59.250   -7.250
 59.250   -7.083
 59.250   -6.917
 59.250   -6.750
 59.250   -6.583
 59.250   -6.417
 59.250   -6.250
 59.250   -6.083
 59.250   -5.917
 59.250   -5.750
 59.250   -5.583
 59.250   -5.417
 59.250   -5.250
 59.250   -5.083
 59.250   -4.917
 59.250   -4.750
 59.250   -4.583
 59.250   -4.417
 59.250   -4.250
 59.250   -4.083
 59.250   -3.917
 59.250   -3.750
 59.250   -3.583
 59.250   -3.417
 59.250   -3.250
 59.250   -3.083
 59.250   -2.917
 59.250   -2.750
 59.250   -2.583
 59.250   -2.417
 59.250   -2.250
 59.250   -2.083
 59.250   -1.917
 59.250   -1.750
 59.250   -1.583
 59.250   -1.417
 59.250   -1.250
 59.250   -1.083
 59.250   -0.917
 59.250   -0.750
 59.250   -0.583
 59.250   -0.417
 59.250   -0.250
 59.250   -0.083
 59.250    0.083
 59.250    0.250
 59.250    0.417
 59.250    0.583
 59.250    0.750
 59.250    0.917
 59.250    1.083
 59.250    1.250
 59.250    1.417
