 -2.500  -62.500
1901
   21.7    0.7    3.5    0.0    0.0   26.1    0.0   53.0    3.2   13.6    5.7    4.2    0.9    0.0    0.0    0.0    5.4    7.0    8.4    2.1   36.6    0.0    0.0    0.0    0.0    0.0    1.3    4.8   27.9    0.0
   11.6   17.2    5.5    4.2    0.0    0.0    9.1    7.8   12.7    0.0    3.8    6.0    0.0   22.7   18.8   20.1    4.6   22.0    0.6    1.4    0.0    0.0    4.9    9.6    0.0    0.0    0.0    2.2   14.7    4.4
    0.0    0.0   23.7    9.3    0.0    0.0    2.8   10.7    0.1    0.0    0.0    0.0    0.0    0.0    7.1    0.0    9.9   36.7    6.7    7.2    1.9    0.0    0.0    0.0   14.2    1.1   57.0   45.0   38.8    0.0
   20.8    0.4    2.3    7.1    0.0    0.7    2.0    8.3    1.0   26.5   33.8   31.5    0.0    0.0    0.0    1.2   14.7    0.0    0.0    4.8    4.6   62.3    5.9    5.4   10.2    0.0    0.0   29.8    6.0    2.5
    6.8    0.0    0.0    0.0   43.2   15.3    0.0    0.0    0.0    0.0   11.5   19.2    0.0    0.0    7.2   38.9    4.9   23.7    6.0   10.4    5.6   27.7    1.2    0.0    0.0    0.0    0.0   23.5    4.8   25.2
    4.1    0.0   29.6    3.3    0.0    7.9    0.0    0.0   22.5    0.0   26.0   34.8    9.3    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    6.2    3.7    0.0    0.0    0.0    7.2   29.5
    5.5    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    2.2   11.8    0.0    0.0    0.0    0.0    1.8    4.1   22.6    9.6    0.5    2.8   32.4   16.4    1.5    0.0    0.0    0.0    0.0    0.5   23.2
    0.0    0.0    0.0    0.0    0.0   14.2    0.0    1.9    0.0    0.0   14.4   26.3    0.0    0.0    0.0    0.9   18.6    0.3    0.0   18.9    0.0    0.0    0.0    0.0    0.0    0.0    2.6    4.9    0.0    0.0
    0.0    0.7    6.7    0.0    2.8    8.3    4.4    0.0    0.0    0.0    0.0    6.4    3.9    0.0   21.1    0.0   17.6    3.4    3.3    0.0    0.0    0.0    0.0    0.0    0.0    8.0    8.2    1.5   20.1    2.6
    0.0   25.6    1.2    1.6    0.0    0.5   45.4    0.7    0.0    2.9    1.1    4.8    0.0    0.0   25.3    1.6   11.6    0.0    0.0    0.0    0.0    0.0   35.2    1.2    0.0    0.0    0.0    0.0    0.0    2.2
