  3322     ZHEJIANG
  3323     ANHUI
  3324     JIANGSU
  3325     SHANDONG
  3326     HEBEI
  3327     BEIJING
  3328     TIANJIN
  3329     SHANGHAI
  4101     CZECHREPUBLIC
  4102     SLOVAKIA
  6001     EGERMANY
  6002     WGERMANY
  7501     ANDHRA_P.
  7502     ASSAM
  7503     BIHAR
  7504     GUJARAT
  7505     HARYANA
  7506     HIMACHAL_P.
  7507     JAMMU&KASHMIR
  7508     KARNATAKA
  7509     KERALA
  7510     MADHYA_P.
  7511     MAHARASHTRA
  7512     MANIPUR
  7513     MEGHALAYA
  7514     NAGALAND
  7515     ORISSA
  7516     PUNJAB
  7517     RAJASTHAN
  7518     TAMIL_NADU
  7519     TRIPURA
  7520     UTTAR_P.
  7521     WEST_BENGAL
  7522     ARUNACHAL_P.
  7523     MIZORAM
  7524     ANDAMAN_I.
  7525     SIKKIM
 17101     USA_AL
 17102     USA_AK
 17103     USA_AZ
 17104     USA_AR
 17105     USA_CA
 17106     USA_CO
 17107     USA_CT
 17108     USA_DE
 17109     USA_FL
 17110     USA_GA
 17111     USA_HI
 17112     USA_ID
 17113     USA_IL
 17114     USA_IN
 17115     USA_IA
 17116     USA_KS
 17117     USA_KY
 17118     USA_LA
 17119     USA_ME
 17120     USA_MD
 17121     USA_MA
 17122     USA_MI
 17123     USA_MN
 17124     USA_MS
 17125     USA_MO
 17126     USA_MT
 17127     USA_NE
 17128     USA_NV
 17129     USA_NH
 17130     USA_NJ
 17131     USA_NM
 17132     USA_NY
 17133     USA_NC
 17134     USA_ND
 17135     USA_OH
 17136     USA_OK
 17137     USA_OR
 17138     USA_PA
 17139     USA_RI
 17140     USA_SC
 17141     USA_SD
 17142     USA_TN
 17143     USA_TX
 17144     USA_UT
 17145     USA_VT
 17146     USA_VA
 17147     USA_WA
 17148     USA_WV
 17149     USA_WI
 17150     USA_WY
 17151     USA_PR
 17201     ESTONIA
 17202     LATVIA
 17203     LITHUANIA
 17204     WHITE_RUSSIA
 17205     MOLDAVIA
 17206     UKRAINE
 17207     GEORGIA
 17208     ARMENIA
 17209     AZERBAIJAN
 17210     RUSSIA
 17211     TADZHIKISTAN
 17212     TURKMENIYA
 17213     UZBEKISTA
 17214     KAZAKHSTAN
 17215     KIRGIZIYA
