Lat	Long	Id	Country_Avg	Country_Cnt	Bulkd30_Avg	Bulkd1m_Avg	Car30c_Avg	Car1m_Avg	Clay30_Avg	Sand30_Avg	Silt30_Avg	Clay1m_Avg	Sand1m_Avg	Silt1m_Avg
50.917	-3.917	49	2	166	0.4784	0.7238	35.7645	28.3392	6.609	71.6175	21.4332	6.609	71.6175	21.4332
50.917	-3.75	50	2	174	0.5498	0.8227	33.3429	24.8218	7.4057	70.625	21.9877	7.4057	70.625	21.9877
50.917	-3.583	51	2	172	0.8026	1.0753	22.9694	15.4608	7.648	66.5606	21.4668	7.648	66.5606	21.4668
50.917	-3.417	52	2	148	0.9672	1.3029	15.6754	6.3542	7.7422	72.6761	19.6491	7.7422	72.6761	19.6491
50.917	-3.25	53	2	78	1.1783	1.4096	6.8321	2.8438	9.7821	72.1857	18.0981	9.7821	72.1857	18.0981
50.917	-3.083	54	2	178	0.6821	0.9471	28.1035	19.2068	5.526	75.7475	18.8914	5.526	75.7475	18.8914
50.917	-2.917	55	2	179	0.7119	0.9808	26.7079	17.535	5.2242	75.7436	19.0738	5.2242	75.7436	19.0738
50.917	-2.75	56	2	184	0.5195	0.8628	33.1384	21.7878	6.6257	71.9392	21.421	6.6257	71.9392	21.421
50.917	-2.583	57	2	175	0.503	0.8136	33.873	23.8504	6.0161	73.309	20.6655	6.0161	73.309	20.6655
50.917	-2.417	58	2	181	0.4992	0.8189	33.7825	23.6026	6.289	72.675	21.036	6.289	72.675	21.036
50.917	-2.25	59	2	183	0.4476	0.7962	36.03	24.2623	6.3449	72.6428	20.9966	6.3449	72.6428	20.9966
50.917	-2.083	60	2	174	0.6357	0.9987	28.9596	17.3856	7.454	71.1021	21.4761	7.454	71.1021	21.4761
50.917	-1.917	61	2	174	1.1713	1.3929	8.7516	3.3904	8.2594	68.8141	23.0267	8.2594	68.8141	23.0267
50.917	-1.75	62	2	161	1.0682	1.3814	14.4366	5.2612	8.4413	70.4547	21.1552	8.4413	70.4547	21.1552
50.917	-1.583	63	2	126	1.0721	1.3523	11.7318	4.6707	7.637	73.5194	19.0247	7.637	73.5194	19.0247
50.917	-1.417	64	2	139	0.9298	1.2219	15.3433	8.2245	5.3665	79.7378	15.3183	5.3665	79.7378	15.3183
50.917	-1.25	65	2	175	0.9073	1.2498	17.0726	7.4862	6.1649	77.2994	16.4817	6.1649	77.2994	16.4817
50.917	-1.083	66	2	187	0.8323	1.1506	20.0869	11.6011	7.398	72.059	19.9911	7.398	72.059	19.9911
50.917	-0.917	67	2	190	0.9272	1.2891	15.8739	6.5095	9.3731	68.6995	21.2876	9.3731	68.6995	21.2876
50.917	-0.75	68	2	170	0.4173	0.6868	39.7162	29.8103	8.5164	61.3316	30.152	8.5164	61.3316	30.152
50.917	-0.583	69	2	186	0.3397	0.6569	42.4306	30.7797	9.7567	60.3517	29.9353	9.7567	60.3517	29.9353
50.917	-0.417	70	2	120	0.6628	0.9273	29.1787	20.7234	9.5691	63.8896	26.4303	9.5691	63.8896	26.4303
50.917	-0.25	71	2	170	0.6704	0.892	28.4871	21.1176	6.3985	70.7247	22.9532	6.3985	70.7247	22.9532
50.917	-0.083	72	2	184	0.4964	0.8198	33.4063	22.8031	6.0167	72.7133	21.2969	6.0167	72.7133	21.2969
50.917	0.083	73	2	182	0.6351	0.9919	27.491	16.2584	5.8605	72.0571	22.0824	5.8605	72.0571	22.0824
50.917	0.25	74	2	186	0.6257	0.9693	28.0052	17.1831	5.7687	72.2125	22.0188	5.7687	72.2125	22.0188
50.917	0.417	75	2	184	0.6627	1.0294	26.5631	14.9375	5.898	72.0931	22.0089	5.898	72.0931	22.0089
50.917	0.583	76	2	183	0.6865	1.0457	26.1833	14.7981	6.4994	71.7011	21.7995	6.4994	71.7011	21.7995
50.917	0.75	77	2	185	0.7459	1.1323	23.7906	11.4164	6.9235	71.944	21.1939	6.9235	71.944	21.1939
50.917	0.917	78	2	172	0.8218	1.2173	20.0401	8.4394	7.0385	72.9036	20.184	7.0385	72.9036	20.184
51.083	-3.917	79	2	186	0.847	1.2065	19.2376	9.2974	7.1122	73.9665	19.1423	7.1122	73.9665	19.1423
51.083	-3.75	80	2	177	0.51	0.7755	34.6897	26.7997	6.6237	62.0881	19.95	6.6237	62.0881	19.95
51.083	-3.583	81	2	149	0.4053	0.6484	39.1065	31.499	6.3281	68.7098	18.9072	6.3281	68.7098	18.9072
51.083	-3.417	82	2	182	0.5188	0.8582	33.7482	22.1634	6.1813	75.4999	17.7534	6.1813	75.4999	17.7534
51.083	-2.917	83	2	171	0.6204	0.905	29.1385	20.5626	6.1372	74.4783	19.4854	6.1372	74.4783	19.4854
51.083	-2.75	84	2	179	0.6933	0.9729	26.2912	18.2263	6.5627	74.0128	19.5507	6.5627	74.0128	19.5507
51.083	-2.583	85	2	174	0.8159	1.0899	21.8325	13.7476	8.0901	62.1868	25.7954	8.0901	62.1868	25.7954
51.083	-2.417	86	2	170	0.6781	0.9317	27.4063	20.029	8.7996	61.3292	29.6756	8.7996	61.3292	29.6756
51.083	-2.25	87	2	177	0.97	1.189	17.7917	10.9245	11.4909	58.7774	29.8615	11.4909	58.7774	29.8615
51.083	-2.083	88	2	186	1.2227	1.3848	8.7648	3.8227	11.5838	60.6562	28.1692	11.5838	60.6562	28.1692
51.083	-1.917	89	2	186	1.3265	1.4143	6.4116	3.1625	11.5693	59.5541	29.1588	11.5693	59.5541	29.1588
51.083	-1.75	90	2	188	1.3112	1.4018	6.8599	3.6094	11.439	60.3428	28.5986	11.439	60.3428	28.5986
51.083	-1.583	91	2	190	1.2825	1.4083	6.852	3.07	13.3282	56.8642	30.259	13.3282	56.8642	30.259
51.083	-1.417	92	2	188	1.2225	1.425	7.1214	2.8885	18.4997	54.637	26.7852	18.4997	54.637	26.7852
51.083	-1.25	93	2	112	1.1074	1.3716	7.6809	4.33	25.3083	49.2867	25.409	25.3083	49.2867	25.409
51.083	-1.083	94	2	89	0.4095	0.747	39.7125	27.0745	8.3103	61.7728	29.9274	8.3103	61.7728	29.9274
